__status,sys_created_by,sys_created_on,sys_id,sys_mod_count,sys_updated_by,sys_updated_on,u_bldg_code,u_building,u_comments,u_floor,u_name,u_room,u_room_key,u_tr
success,RhondaAdmin,2014-03-24 21:04:34,55424f1389a31100090da23bf5f0e44b,0,RhondaAdmin,2014-03-24 21:04:34,f1b04b1389a31100090da23bf5f0e4e8,2157574454cd6c00370f77cd1a50eef1, (MSCNS Floor: 02 Rm: 2102),30575bc454cd6c00370f77cd1a50ee5f,NWT02A,,,02A
success,RhondaAdmin,2014-03-24 21:04:22,56324f1389a31100090da23bf5f0e425,0,RhondaAdmin,2014-03-24 21:04:22,b9b04b1389a31100090da23bf5f0e4e4,3a561b0454cd6c00370f77cd1a50ee6d, (MSCNS Floor: 00 Rm: 0208),,BIH00A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:24:18,56c64f5389a31100090da23bf5f0e4e3,1,svc-midsrv,2014-06-07 09:00:16,ec3c636351e3110032e3236e4abe27e7,, (MSCNS Floor: 03 Rm: CP3A),59575bc454cd6c00370f77cd1a50eec9,CP03A,,CBCA1,A
success,RhondaAdmin,2014-03-24 21:03:53,57120f1389a31100090da23bf5f0e49b,0,RhondaAdmin,2014-03-24 21:03:53,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 07 Rm: 7048),e8575fc454cd6c00370f77cd1a50ee15,CSRBN07A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:09,57220f1389a31100090da23bf5f0e4e3,0,RhondaAdmin,2014-03-24 21:04:09,46b04b1389a31100090da23bf5f0e4e8,8c56db0454cd6c00370f77cd1a50ee92, (MSCNS Floor: 10 Rm: 10029),cd57530854cd6c00370f77cd1a50ee20,OLIN10A,,OHA 4.6,A
success,RhondaAdmin,2014-03-24 21:24:22,57c68f5389a31100090da23bf5f0e411,1,svc-midsrv,2014-06-07 09:01:29,fa4ca36351e3110032e3236e4abe2797,034cbe06354d210032e3049cc90c0eba, (MSCNS Floor: 01 Rm: 104),ac571bc454cd6c00370f77cd1a50eef8,RD01Y,,Combo,Y
success,RhondaAdmin,2014-03-24 21:03:45,59120f1389a31100090da23bf5f0e488,0,RhondaAdmin,2014-03-24 21:03:45,f5b04b1389a31100090da23bf5f0e4e4,09571b4454cd6c00370f77cd1a50ee43, (MSCNS Floor: 03 Rm: 3380),59575bc454cd6c00370f77cd1a50eec9,BAR03A,,OB,A
success,RhondaAdmin,2014-03-24 21:04:34,59424f1389a31100090da23bf5f0e44b,0,RhondaAdmin,2014-03-24 21:04:34,35b04b1389a31100090da23bf5f0e4e6,da6ade9040edf484370f7c4c2eb3d8dd, (MSCNS Floor: 01 Rm: 150),ac571bc454cd6c00370f77cd1a50eef8,ELP01A,,C088,A
success,RhondaAdmin,2014-03-24 21:24:18,5ac64f5389a31100090da23bf5f0e4e6,0,RhondaAdmin,2014-03-24 21:24:18,,,,,SKINK01,,,
success,RhondaAdmin,2014-03-24 21:03:53,5b120f1389a31100090da23bf5f0e49a,0,RhondaAdmin,2014-03-24 21:03:53,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 04 Rm: 4048),25579bc454cd6c00370f77cd1a50ee23,CSRBN04A,,PMS9,A
